"","Abernathy","Adams","Andreafsky","Big Qualicum","Big Salmon","Birkenhead","Blue","Cariboo","Cheakamus","Cowichan","Dean","Dudidontu","Duteau","Ecstall","Endako","Harrison","Hoole","Imnaha","Kaouk","Kilbella","Kildala","Kincolith","Kitlope","Kitsumkalum","Kitwanga","Klinaklini","Klondike","Kwinageese","Mayo","Morley","Moyeha","Nahatlatch","Nimpkish","Nordenskiold","Nusatsum","Okanagan","Phillips","Pitt","Portage","Raft","Salmon Fork","San Juan","Sarita","Serpentine","Seymour","Siuslaw","Slim","Spius","Sustut","Swift","Tahltan","Takhanne","Takhini","Taseko","Tincup","Tozitna","Trinity","Verrett","Yakoun"
"Kincolith",1251376,1371890,3255944,NA,1204192,1185304,1392516,1129129,961689,976546,530374,711202,1491163,130944,833987,1042052,1720527,1935925,683601,460324,424565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kitlope",1010256,1130983,3505718,NA,1490761,944396,1253473,1097276,720748,735601,135215,1004854,1250256,284552,802134,801069,2007097,1694805,442480,219528,97777,397467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kitsumkalum",1164589,1285315,3373850,NA,1337400,1098729,1162685,899299,875080,889933,338436,844470,1404582,99007,604157,955402,1853831,1849138,596813,373861,232627,230018,205488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kitwanga",1239036,1138048,3455880,NA,1419429,1173176,1080645,817259,949528,964380,412883,926500,1251552,181037,522116,1029849,1935860,1923585,671260,448308,307074,312048,279935,82030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Klinaklini",886472,820886,3863774,NA,1810701,634300,943376,1032723,410651,425504,482966,1340386,940159,640738,1204163,490972,2327904,1571027,405406,277879,595381,738821,497602,651974,726457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Klondike",2745398,2853038,1656377,NA,415821,2666456,2976589,2646156,2443334,2458351,2033387,1269128,2973335,1648247,2351005,2523461,590856,3430625,2168088,1941473,1927572,1614158,1900446,1746909,1828604,2219612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kwinageese",1451904,1572414,3458678,NA,1406922,1385832,1593040,1329687,1162213,1177074,730898,913933,1691691,331468,1034511,1242576,1923262,2136449,884128,660848,625093,202717,597955,430425,512399,938992,1816531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mayo",2855604,2963245,1950518,NA,526027,2776663,3086796,2756362,2553540,2568557,2143593,1379335,3083541,1758454,2461212,2633668,701063,3540831,2278295,2051679,2037778,1724365,2010653,1857116,1938811,2329819,297363,1927154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morley",2512181,2619821,2317164,NA,254483,2433239,2743372,2412938,2210116,2225134,1800170,1035911,2740117,1415037,2117788,2290244,770676,3197408,1934871,1708255,1694354,1380948,1667229,1513692,1595387,1986395,664009,1583730,774021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moyeha",479178,751523,3865050,NA,1880886,564937,874106,963423,418259,311586,577180,1409403,870904,707988,1134800,421574,2397222,1163727,131446,375461,662593,806158,564814,719186,793669,527797,2290406,1006647,2400516,2057705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nahatlatch",715250,223253,4273914,NA,2220330,213168,345836,435144,289772,263318,892867,1750060,342634,1050717,606522,106642,2737801,1399799,649034,687794,1005443,1148702,907504,1062102,1076017,597439,2630717,1349298,2741069,2398016,528052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
